post,closedQ
正常的，你永远不会消停，找到你要的你就会去做，然后遇上各种难题，然后你又会这样，别给自己太大压力，总有一天，面包会有牛奶也会有的,有冇嘗試做其他嘢放鬆自己呀？
刚生完上一胎8个月就生第二个吗……好辛苦,係咪覺得壓力好大?
你也失眠啦,除咗失眠之外有冇其他問題嗎？
至少上班时间都不敢失眠啊,除咗失眠之外有冇其他問題嗎？
我还是喜欢你短发的模样,你係咪有鍾意既人？
通常这么有深度的聊天然后会失眠,除咗失眠之外有冇其他問題嗎？
失眠了吗,除咗失眠之外有冇其他問題嗎？
他表白完，说我俩性格不合适，不想伤害我。我俩性格确实太相似。但是天天见面行为上还是感觉得到他的喜欢与克制。好难受。,你覺得同佢適唔適合啊？
你好辛苦！,係咪覺得壓力好大?
失眠了呀,除咗失眠之外有冇其他問題嗎？
干什么都不能委屈了自己的肚子我不是故意的娇娇现在这个点你可以选择喝点水填饱肚子等明天再补回来,係咪有人屈你？
好紧张啊。。。语文题目感觉好难,咁會唔會影響到你嘅表現？
胖啊脸上肉多哎理想目标85,你係咪有好明確嘅目標？
我还是喜欢你的齐刘海,你係咪有鍾意既人？
单身狗还睡这么早，不失眠才怪,除咗失眠之外有冇其他問題嗎？
没那么夸张吧0v0预测线一般往高里猜的，现在依然可以保持70000的目标刷到活动前一天再看看,你係咪有好明確嘅目標？
两个人，三观决定适不适合在一起，三餐决定能不能稳定的在一起，信任决定能不能长久的在一起。适合的才是最好的，不合适的人始终要分开，愿我们都能找到合适的人。,你覺得同佢適唔適合啊？
我也想看电影，看朗读者，可每天都好忙,係咪有好多嘢要做？
我其实又失眠了,除咗失眠之外有冇其他問題嗎？
我老公就是永远在我火大的时候，再浇一勺热油，我炸了他还觉得我负面情绪殃及到他那种委屈样！唉！！！,係咪有人屈你？
失眠竟然跟你有关,除咗失眠之外有冇其他問題嗎？
我不是蕾丝边。。你千万表酱紫直接那。。不合适,你覺得同佢適唔適合啊？
这么好看的咖啡这么体贴的男银失眠也是值得的,除咗失眠之外有冇其他問題嗎？
毕竟你们还有钱的事情没有解决吧？总说你委屈但是你看到他有提到过你一次吗？,係咪有人屈你？
每次失眠你都在,除咗失眠之外有冇其他問題嗎？
你的焦虑太明显了，别让孩子也被你感染哦,你係咪好容易焦慮？
我猜你和我一样是喜欢陪伴月亮''一起失眠的孩子'',除咗失眠之外有冇其他問題嗎？
大哥你好，我想自己去云南旅游，请问下那边治安方面安全吗？坑不坑？我是自己一个人从青岛出发，大理到丽江远吗？一个人去大概5天得多少钱，前提玩的质量有保证，我不跟团，谢谢了，你拍照片好美,你會唔會想有個人陪自己？
抱抱，好辛苦。,係咪覺得壓力好大?
想到那个极少数阿姨，“保持年轻从来不是她的人生目标”。昨晚又看了一遍。,你係咪有好明確嘅目標？
阔我感觉这一年咱俩抑郁不少,你抑鬱咗幾耐？
上个中学要换三个学校吗？转学的原因是什么,你適唔適應到新環境呀？
不理解为啥有人喜欢比自己弱的，而且人也是不断在改变的，有个好的目标总比安于现状找个比自己差的好。讲真我所说的傻女孩就是没啥能力的人，无论是事业方面还是平时的生活能力。至于被吐槽的只有男人，大概是现在女孩普遍变得有上进心了，男人适应不了这种变化，毕竟男强女弱这种模式现在已经过气了呀,你係咪有好明確嘅目標？
你失眠了？,除咗失眠之外有冇其他問題嗎？
如果转学16个男的，我就是了！！！,你適唔適應到新環境呀？
你有啥好寂寞的,你係咪覺得好寂寞?
这个点还不了叫失眠？咋啦？是不是想到一个人的七夕就睡不着呀,除咗失眠之外有冇其他問題嗎？
有气质'来给爷亲亲就好啦'莫气'我睡s着了有醒了''失眠',除咗失眠之外有冇其他問題嗎？
人生的迷茫期啊。,你係咪覺得迷茫?
志向远大，目标明确，任务艰巨，同学努力啊！,你係咪有好明確嘅目標？
真羡慕你们这些有目标有理想的人,你係咪有好明確嘅目標？
我喜欢你的照片，很温暖，你是我学习的目标,你係咪有好明確嘅目標？
羊驼毛俗称软黄金～那只黑色的估计发现目标了，需要投喂,你係咪有好明確嘅目標？
学长也会失眠啊,除咗失眠之外有冇其他問題嗎？
考研第二次还是没考上，本科一般，前途迷茫,你係咪覺得迷茫?
发现了晶媛同台呢，没声音，超委屈,係咪有人屈你？
需要人陪不,你想朋友定係屋企人陪你多啲？
看不出焦虑，看到的只有霸气~,你係咪好容易焦慮？
自作多情这种感觉很不好自己一个人患得患失这感觉很不好,你會唔會想有個人陪自己？
你好忙啊！,係咪有好多嘢要做？
不要亲我好紧张,係咪因為要學嘅內容比較深？
不要亲我好紧张,咁會唔會影響到你嘅表現？
耐力确实不错！想和你打球啊，但是现在上班好忙，都木有时间到处跑了,係咪有好多嘢要做？
现在超级迷茫，因为学医，同为大四的高中同学们纷纷就业考编开始真正走向社会，而我上完这半年大学生活才过了一半，不知道四年前如何下定决心，但希望四年后的我不后悔。嗨，未来的我自己过得怎么样啊,你係咪覺得迷茫?
我妈还有两年退休，53岁。我婆婆去年退休了。感觉我妈好辛苦。,係咪覺得壓力好大?
失眠到4点啊,除咗失眠之外有冇其他問題嗎？
说实话，我还是不理解他亲妈，再抑郁也应该为了孩子坚强起来吧，因为这不看孩子，不管孩子（当然一直没嘴上说不管，一直说会管）。鹏宝承受的痛苦总比你多吧。,你抑鬱咗幾耐？
委屈快递小哥了,係咪有人屈你？
怎么迷茫了,你係咪覺得迷茫?
生日快乐没有谁是应该注定记得的除了自己所以就算自己一个人也要快乐下去,你會唔會想有個人陪自己？
我压力大发了！！怎么办！！下次,壓力大有無影響到你日常生活呀?
你怎么真失眠了！！,除咗失眠之外有冇其他問題嗎？
昨天晚上12点多有朋友发信息说他已经开始下一场感情了，庆幸昨天晚上没看到信息，要不然该失眠了，我今天早上起床一看到信息人都慌了。,除咗失眠之外有冇其他問題嗎？
凌晨４点．．你又失眠了嘛,除咗失眠之外有冇其他問題嗎？
你好辛苦啦,係咪覺得壓力好大?
迷茫的铁甲,你係咪覺得迷茫?
你竟然还没睡，你们又在夜聊还是失眠啊?,除咗失眠之外有冇其他問題嗎？
总之无论如何不管到了哪别让自己委屈,係咪有人屈你？
失眠嘛，想东想西就当是对过去的一次整理。整理好了，还是要守着现在等着明天的,除咗失眠之外有冇其他問題嗎？
我做了五款爆款月销量100多，被抓了。现在很迷茫不知道如果做了，除了刷流量，刷单其他都不懂越刷越死，你能指点我下吗,你係咪覺得迷茫?
哥哥镜子里的你好惊悚,係咪驚會好大壓力？
哇坐在饭桌上眼泪都出来了我们都要好好加油！！为了以后能一起住高级养老院出国焦虑很烦，但想到还有你，我就,你係咪好容易焦慮？
我昨晚也失眠一个多小时都睡不着…特浓的旺仔好喝吗？,除咗失眠之外有冇其他問題嗎？
给你安利一个韩剧《请回答1988》我觉得是良心剧还搞笑司考减压必备,有冇試過做運動？
当时我是坚持顺产，开骨缝从中午十一点到凌晨十二点，后来进入产房，医生把我自己一个人扔在那个小床上让我自己生，一个医生坐在我的对面，翘着二郎腿晃来晃去，第一次生孩子，就那样在产房痛苦的煎熬了一个多小时，大夫过来看了一眼，说不剖就危险了。好像做了那么多就为了让你剖腹产，因为他们有提成,你會唔會想有個人陪自己？
今天，大年初一中午2点50我们这个有个排场，说要和家人一起去看。爸妈说要去附近的庙堂祈福，留我在家自己一个人去打针。她们回来遇上了堵车，3点多才到家的，所以，中午的票全废了！到了下午了5点50的排场了，我朋友说和我去看，可是，她来晚了，检票的不让进了。我真的很生气了今天,你會唔會想有個人陪自己？
生日快乐我是一个不知名的群众演员，我很热爱演戏，但是能力有限，没有宣传团队，没有经纪人，如果有缘看到，能否给我几分钟，给我点个赞，顶顶我，我会努力的，谢谢大家！愿你温暖如初，深情永不被辜负,你覺得你嘅能力差多定少先夠？
为何失眠,除咗失眠之外有冇其他問題嗎？
需要人陪，,你想朋友定係屋企人陪你多啲？
那就分手吧，当你这样问的时候，其实就已经有答案了。以后的生活，是柴米油盐，当遇到金钱危机，你会委屈，会不甘，不说那些条件好的男朋友，单凭借自己的努力都可以有更好的生活，可是，因为爱情，什么都不管不顾跟他在了一起，可他根本都不领情，也不考虑你的感受。最后，你会很后悔，跟他在一起。,係咪有人屈你？
深深今天是我生日好孤单,你係咪覺得孤單但係唔想同佢地出去？
失眠就要嗨起来,除咗失眠之外有冇其他問題嗎？
我失眠了,除咗失眠之外有冇其他問題嗎？
排队绿色XS，不合适转我,你覺得同佢適唔適合啊？
你们这种不叫失眠,除咗失眠之外有冇其他問題嗎？
你就是平时什么都吃。最近是不是压力大啊？,壓力大有無影響到你日常生活呀?
你的美貌就足够了,你係咪覺得知足？
老陈，我今天高考考完啦，跟大家好好的疯了一场，然后散场，一个人回家在黑黑的路上开始对答案...心情有点难以言喻。我的语文文综算是砸了，数学一直也就徘徊在及格边缘，从未真切的想过高考失利会是什么感受，还以为自己足够成熟到面对这些挫折，却还是在今夜失眠。实在不甘心，我该去复读吗，,除咗失眠之外有冇其他問題嗎？
偶在啊！想死你了大饭桶！,你係咪覺得好辛苦呀?
你干嘛失眠啊！！,除咗失眠之外有冇其他問題嗎？
想死直说,你係咪覺得好辛苦呀?
你尽情的哭，我小时候爱哭，长大就不哭了，你是小时候没哭够,你唔開心咗幾耐？
都是亲妈他出道的时候确实年纪挺小的叫男朋友也不合适,你覺得同佢適唔適合啊？
干嘛不在家和妈妈呆着。一个人在学校好孤单，不应该是暑假的样子,你係咪覺得孤單但係唔想同佢地出去？
你失眠了？恭喜你，那是因为你没有逛街,除咗失眠之外有冇其他問題嗎？
我也失眠了。。。。,除咗失眠之外有冇其他問題嗎？
它长得好忧郁阿…忧郁哥你好,你係咪好容易就會覺得唔開心？
失眠了也赞,除咗失眠之外有冇其他問題嗎？
亚亚姐这段时间好忙哦，感觉穿红色衣服超靓,係咪有好多嘢要做？
哇，你自己一个人去凤凰的吗？,你會唔會想有個人陪自己？
骂人家的人很无聊，关他屁事！哪个会莫得事轻易离婚嘛，人前强颜欢笑滋味好受吗？再说人家是个演员，这是基本职业素质好吗？,強顏歡笑會唔會令你覺得好攰？
师姐，我一喝多水就老是想上厕所，怎么办好啊，是不是肾亏啊？,咁你有冇去廁所啊?
这是失眠矫情了啊,除咗失眠之外有冇其他問題嗎？
我失眠好多天了，白天也睡不着晚上也睡不着,除咗失眠之外有冇其他問題嗎？
谢谢了，我不是纯的失眠，主要是难受！不知道怎么了，胃往上反酸水！,除咗失眠之外有冇其他問題嗎？
晚上搞剧本搞焦虑了，衣服上枕头上都是牺牲掉的头发,你係咪好容易焦慮？
我也失眠了昨晚,除咗失眠之外有冇其他問題嗎？
早安哦！新的一年要有新的目标哟,你係咪有好明確嘅目標？
小松鼠可爱！阿日日是压力大了么,壓力大有無影響到你日常生活呀?
人善被人欺。虽然好几次想过去撕，但是，怕老大难做，真的忍了又忍，今天下午看到他发的那个关于录音的，我真的真的被气哭了。我为你感到委屈，无止境的委屈。我们都相信你是清白的，然而真的有人在黑你。真的真的替你委屈。,係咪有人屈你？
单养一只好孤单,你係咪覺得孤單但係唔想同佢地出去？
宝宝失眠,除咗失眠之外有冇其他問題嗎？
你在焦虑什么？,你係咪好容易焦慮？
咋还抑郁了呢,你抑鬱咗幾耐？
姥爷，么么儿的目标，可能正的是吃垮北动了,你係咪有好明確嘅目標？
昨天晚上失眠了。真是不安逸,除咗失眠之外有冇其他問題嗎？
就是失眠,除咗失眠之外有冇其他問題嗎？
你可不能抑郁了,你抑鬱咗幾耐？
不到三点不算失眠,除咗失眠之外有冇其他問題嗎？
需要人陪床吗？,你想朋友定係屋企人陪你多啲？
没事晨晨，和灏明一样要坚强，不论外界有什么声音，你们有我们乐橙芋头就足够了！,你係咪覺得知足？
哥想死你了,你係咪覺得好辛苦呀?
天天晚上失眠怎么破,除咗失眠之外有冇其他問題嗎？
别跟自己较劲，很多事其实一开始就决定了它最终的样子，只是自己想不通，逃避和不愿接受现实，到最后会发现，耗费大量时间和精力其实没有意义。任何时候，事情该是怎样的，就是怎样。对自己好点，好好爱自己，加油！,你有冇心理準備接受現實？
魂淡，接受现实好嘛,你有冇心理準備接受現實？
欣赏你对生活的这种态度，不过也别太委屈自己，加油,係咪有人屈你？
我很少失眠~吃饭呀。。,除咗失眠之外有冇其他問題嗎？
你是压力大了么,壓力大有無影響到你日常生活呀?
小弟弟的背影好孤独，为何不与他合照！！！！,你係咪覺得好孤獨?
经典，不管什么都不是越多越好，都要有个度，哪怕是爱亦是如此。,你覺得自己什麼都不是?
我找了一圈人都睡了你也失眠了,除咗失眠之外有冇其他問題嗎？
我也失眠了,除咗失眠之外有冇其他問題嗎？
从你对我有好感，到我慢慢喜欢你，后来你说不合适到我慢慢把你放下，然后你回来说喜欢我，后来到爱上我，然后你就慢慢的不爱我了，最后你走远了我却好留在原地徘徊着,你覺得同佢適唔適合啊？
考试的人也失眠吗,除咗失眠之外有冇其他問題嗎？
把目标定到最高一定会有进步,你係咪有好明確嘅目標？
我也失眠了…,除咗失眠之外有冇其他問題嗎？
你是失眠了么,除咗失眠之外有冇其他問題嗎？
恩恩不要随便树敌但是不喜欢谁也可以说出来何必委屈自己来讨好别人哈哈哈哈我们曹宝贝一点也不13,係咪有人屈你？
大家推荐一下大学专业，女孩子本来想医学但是成绩不太好，现在迷茫中最好有例子，拜托啦,你係咪覺得迷茫?
“宝宝心里苦，宝宝委屈，可是宝宝不说”,係咪有人屈你？
上职高没目标看不到未来怎么办,你係咪有好明確嘅目標？
这家店换地方了据说还在原来的胡同里我居然死活没找到你知道吗想死我了,你係咪覺得好辛苦呀?
失眠,除咗失眠之外有冇其他問題嗎？
忍无可忍？那就不要太委屈自己了。我们是没有太多朋友，但也不差他们一两个吧。你不是宅在家吗？,係咪有人屈你？
抑郁了,你抑鬱咗幾耐？
我很迷茫,你係咪覺得迷茫?
结果被忽悠上车还是去了昌平，他们觉得我开始钻牛角尖的抑郁，不能天天宅在家,你抑鬱咗幾耐？
哪有什么不合适，无非就是腻了，倦了，权衡利弊之后懒得爱了。,你覺得同佢適唔適合啊？
还有翔女我感觉周一考试压力颇大，所以周日不想去上班了!,你係咪好擔心考試？
定好目标，一步一步来,你係咪有好明確嘅目標？
你也失眠？！,除咗失眠之外有冇其他問題嗎？
你也失眠了征哥儿,除咗失眠之外有冇其他問題嗎？
成都我到处逛了，没见有卖陆龟的呀！亲，家里陆缅一只好孤单,你係咪覺得孤單但係唔想同佢地出去？
不是外地人在这里打拼，你们本地人什么都不是,你覺得自己什麼都不是?
我好担心成品不清晰,你係咪擔心聽日考試會好難?
你这也失眠得太厉害了…,除咗失眠之外有冇其他問題嗎？
16，即将高二，没有明确的目标，对大学很迷茫，对未来很迷茫,你係咪覺得迷茫?
16，即将高二，没有明确的目标，对大学很迷茫，对未来很迷茫,你係咪有好明確嘅目標？
失眠了！,除咗失眠之外有冇其他問題嗎？
失眠是什么东西？夜生活刚刚开始,除咗失眠之外有冇其他問題嗎？
我又失眠了,除咗失眠之外有冇其他問題嗎？
谁的青春不迷茫,你係咪覺得迷茫?
怎么都失眠呢,除咗失眠之外有冇其他問題嗎？
先睡，明天还要上班，失眠好痛苦,除咗失眠之外有冇其他問題嗎？
杭州的目标还是你的目标？,你係咪有好明確嘅目標？
为毛是失眠啊！,除咗失眠之外有冇其他問題嗎？
还有二十多天就考试了我还九点才起床好紧张啊,咁會唔會影響到你嘅表現？
还有二十多天就考试了我还九点才起床好紧张啊,仲有幾耐考呀？
都说冬令进补，但不是每个人都适合进补的，补的不合适身体反而容易出问题,你覺得同佢適唔適合啊？
你又失眠嘛你,除咗失眠之外有冇其他問題嗎？
是不是喝那个水喝失眠了,除咗失眠之外有冇其他問題嗎？
顺产我没经验…据说就是有想死的痛楚…,你係咪覺得好辛苦呀?
哎哟喂，夸得我都要内牛满面了好么！！！行吧，孩子，那你就照着这个目标去努力吧！！我赶脚吧，你的那些理想s里面有一个是写本书。。有木有！！,你係咪有好明確嘅目標？
什么鬼为什么会有一个不认识的人转深夜失眠晚上吃了蔓越莓会让人亢奋吗难道？？,除咗失眠之外有冇其他問題嗎？
看来我抑郁了,你抑鬱咗幾耐？
最近不太好，前段时间受了很大的委屈，没人诉说，周末考研了，准备的一点都不充分，很复杂的心情,係咪有人屈你？
这位姐姐哦你觉得放在自家超话好看哦呵呵了对不起哦你们受“委屈”了呢劳烦帖子删下呢姐姐,係咪有人屈你？
做好事必须宣传，毕竟一个人能力有限，支持王子清,你覺得你嘅能力差多定少先夠？
我突然发现你们是真的好忙,係咪有好多嘢要做？
我们的目标是不要r卡,你係咪有好明確嘅目標？
你一天好忙哦,係咪有好多嘢要做？
你活的太委屈了，委屈得我都忍不住笑了，哈哈哈（金馆长脸）,係咪有人屈你？
"我想到2种可能,觉得都说得通:第一句没啥疑问,就是这段感情至今还可追忆,但是在当时却使人感到迷惘,惆怅.似乎有一种悔不当初的感觉.但是如果解释成这段感情至今虽然还可以回忆起那些甜美,但是当很久的当初,就已经令人迷茫了.这样给人的感觉就是有遗憾,但是也无可奈何",你係咪覺得迷茫?
你这个点就当失眠滴捏，最近赶论文的我舍友们天天熬夜还有通宵的呢,除咗失眠之外有冇其他問題嗎？
你也失眠？,除咗失眠之外有冇其他問題嗎？
你自己一个人是不是！！！我也一个人，你过来找我啊！！！我害怕啊！！！,你會唔會想有個人陪自己？
大侄女儿阿门抑郁了,你抑鬱咗幾耐？
现在游戏做的还是不够细致，看看头号玩家的绿洲，那个是目标啊,你係咪有好明確嘅目標？
我昨晚也失眠了到现在没睡，感觉你真的变样了。像换了一个人,除咗失眠之外有冇其他問題嗎？
